STATION,DATE,REPORT_TYPE,SOURCE,BackupElements,BackupElevation,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,Sunrise,Sunset,WindEquipmentChangeDate
72518014735,2015-01-11T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",4.0,18.0,50.0,30.53,30.2,16.0,8.0,0.0,-4.3,47.0,31.0,5.0,180.0,19.0,0.00,1.0,0.0,180.0,16.0,725.0,1642.0,2006-09-08
72518014735,2015-01-12T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",25.0,32.0,80.0,30.26,29.93,29.0,8.5,0.0,9.8,33.0,35.0,28.0,300.0,23.0,0.20,2.0,2.6,300.0,18.0,724.0,1643.0,2006-09-08
72518014735,2015-01-13T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",-2.0,15.0,57.0,30.65,30.27,7.0,10.0,0.0,-7.2,50.0,31.0,-2.0,10.0,26.0,T,3.0,T,10.0,21.0,724.0,1644.0,2006-09-08
72518014735,2015-01-14T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",-3.0,5.0,65.0,30.45,30.14,3.0,1.8,0.0,-17.1,60.0,19.0,-10.0,100.0,9.0,T,3.0,T,90.0,8.0,724.0,1645.0,2006-09-08
72518014735,2015-01-15T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",7.0,15.0,65.0,30.07,29.78,14.0,3.2,0.0,-7.1,50.0,26.0,4.0,170.0,14.0,0.00,3.0,0.0,170.0,10.0,723.0,1647.0,2006-09-08
72518014735,2015-01-16T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",7.0,21.0,53.0,29.92,29.55,18.0,11.9,0.0,-1.1,44.0,34.0,7.0,290.0,41.0,T,3.0,0.1,300.0,31.0,723.0,1648.0,2006-09-08
72518014735,2015-01-17T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",-4.0,11.0,47.0,30.3,29.97,8.0,6.0,0.0,-11.1,54.0,24.0,-2.0,170.0,36.0,0.00,2.0,0.0,170.0,26.0,722.0,1649.0,2006-09-08
72518014735,2015-01-18T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",27.0,32.0,79.0,29.89,29.59,31.0,9.7,0.0,9.9,33.0,40.0,24.0,160.0,30.0,0.59,1.0,0.0,170.0,21.0,722.0,1650.0,2006-09-08
72518014735,2015-01-19T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",24.0,34.0,66.0,29.77,29.41,31.0,14.4,0.0,11.9,31.0,38.0,29.0,260.0,38.0,T,0.0,T,280.0,29.0,721.0,1652.0,2006-09-08
72518014735,2015-01-20T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",11.0,24.0,55.0,29.96,29.6,21.0,10.9,0.0,1.9,41.0,31.0,17.0,290.0,26.0,T,0.0,T,280.0,21.0,720.0,1653.0,2006-09-08
72518014735,2015-01-21T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",6.0,16.0,63.0,30.19,29.85,14.0,2.0,0.0,-6.2,49.0,24.0,8.0,290.0,11.0,0.00,0.0,0.0,290.0,8.0,720.0,1654.0,2006-09-08
72518014735,2015-01-22T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",12.0,25.0,64.0,30.27,29.91,20.0,4.8,0.0,2.8,40.0,32.0,17.0,290.0,25.0,0.00,0.0,0.0,280.0,20.0,719.0,1655.0,2006-09-08
72518014735,2015-01-23T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",14.0,25.0,66.0,30.18,29.88,21.0,3.2,0.0,2.7,40.0,34.0,15.0,270.0,19.0,T,0.0,T,290.0,15.0,718.0,1657.0,2006-09-08
72518014735,2015-01-24T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",23.0,28.0,78.0,29.55,29.28,27.0,7.0,0.0,5.6,37.0,34.0,22.0,290.0,34.0,0.06,0.0,0.8,290.0,28.0,718.0,1658.0,2006-09-08
72518014735,2015-01-25T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",11.0,25.0,53.0,29.77,29.38,22.0,13.8,0.0,2.5,40.0,36.0,13.0,300.0,43.0,T,1.0,T,290.0,31.0,717.0,1659.0,2006-09-08
72518014735,2015-01-26T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",2.0,14.0,59.0,30.07,29.75,11.0,8.3,0.0,-8.5,51.0,18.0,10.0,20.0,18.0,0.02,0.0,0.2,360.0,14.0,716.0,1700.0,2006-09-08
72518014735,2015-01-27T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",3.0,14.0,65.0,29.86,29.52,11.0,10.9,0.0,-8.6,51.0,17.0,11.0,360.0,24.0,0.23,1.0,5.6,10.0,20.0,715.0,1702.0,2006-09-08
72518014735,2015-01-28T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0.0,13.0,50.0,30.14,29.75,11.0,9.1,0.0,-9.7,52.0,23.0,2.0,330.0,21.0,T,6.0,T,330.0,18.0,714.0,1703.0,2006-09-08
72518014735,2015-01-29T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",2.0,13.0,57.0,30.19,29.9,12.0,7.0,0.0,-9.9,52.0,30.0,-4.0,170.0,29.0,T,4.0,T,170.0,21.0,713.0,1704.0,2006-09-08
72518014735,2015-01-30T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",16.0,19.0,71.0,29.92,29.57,22.0,14.7,0.0,-4.0,46.0,30.0,8.0,290.0,44.0,0.18,4.0,2.6,300.0,37.0,712.0,1706.0,2006-09-08
72518014735,2015-01-31T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",-5.0,7.0,51.0,30.17,29.83,6.0,14.2,0.0,-16.1,58.0,14.0,-1.0,280.0,39.0,T,4.0,T,280.0,31.0,711.0,1707.0,2006-09-08
72518014735,2015-03-01T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",10.0,14.0,73.0,30.47,30.19,15.0,5.3,0.0,-15.4,51.0,26.0,2.0,170.0,29.0,0.08,12.0,1.4,180.0,21.0,632.0,1745.0,2006-09-08
72518014735,2015-03-02T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",14.0,26.0,62.0,30.16,29.8,22.0,15.1,0.0,-3.6,39.0,31.0,21.0,280.0,51.0,T,13.0,0.2,290.0,39.0,630.0,1746.0,2006-09-08
72518014735,2015-03-03T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",11.0,19.0,65.0,30.19,29.93,18.0,11.3,0.0,-10.9,46.0,30.0,7.0,170.0,35.0,0.10,12.0,0.4,180.0,24.0,628.0,1747.0,2006-09-08
72518014735,2015-03-04T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",26.0,35.0,69.0,29.82,29.47,32.0,9.2,0.0,4.8,30.0,39.0,30.0,180.0,29.0,0.00,12.0,0.0,280.0,21.0,627.0,1748.0,2006-09-08
72518014735,2015-03-05T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",5.0,22.0,49.0,30.18,29.8,17.0,13.8,0.0,-8.5,43.0,33.0,11.0,280.0,30.0,T,12.0,T,290.0,24.0,625.0,1749.0,2006-09-08
72518014735,2015-03-06T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",-1.0,14.0,48.0,30.44,30.11,12.0,4.1,0.0,-16.9,51.0,27.0,0.0,320.0,15.0,0.00,12.0,0.0,280.0,12.0,623.0,1751.0,2006-09-08
72518014735,2015-03-07T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",9.0,22.0,52.0,30.12,29.82,20.0,4.7,0.0,-9.2,43.0,35.0,8.0,290.0,17.0,T,11.0,T,290.0,15.0,622.0,1752.0,2006-09-08
72518014735,2015-03-08T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",20.0,30.0,66.0,30.06,29.72,27.0,6.0,0.0,-1.5,35.0,38.0,21.0,270.0,43.0,0.02,11.0,0.6,290.0,31.0,620.0,1753.0,2006-09-08
72518014735,2015-03-09T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",19.0,31.0,60.0,30.15,29.81,28.0,6.6,0.0,-0.9,34.0,44.0,18.0,280.0,30.0,0.00,10.0,0.0,290.0,23.0,618.0,1754.0,2006-09-08
72518014735,2015-03-10T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",25.0,35.0,64.0,30.17,29.87,32.0,6.9,0.0,2.8,30.0,49.0,20.0,160.0,26.0,0.03,8.0,0.0,180.0,20.0,616.0,1756.0,2006-09-08
72518014735,2015-03-11T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",32.0,43.0,68.0,29.98,29.64,38.0,11.6,0.0,10.4,22.0,48.0,37.0,290.0,39.0,T,5.0,0.0,290.0,28.0,615.0,1757.0,2006-09-08
72518014735,2015-03-12T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",10.0,33.0,36.0,30.42,30.03,27.0,16.1,0.0,0.1,32.0,41.0,25.0,330.0,38.0,0.00,0.0,0.0,330.0,29.0,613.0,1758.0,2006-09-08
72518014735,2015-03-13T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",8.0,31.0,38.0,30.51,30.2,25.0,5.7,0.0,-2.3,34.0,42.0,19.0,180.0,21.0,0.00,0.0,0.0,170.0,14.0,611.0,1759.0,2006-09-08
72518014735,2015-03-14T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",32.0,38.0,81.0,29.95,29.68,35.0,5.5,0.0,4.3,27.0,41.0,35.0,290.0,30.0,0.08,0.0,0.0,290.0,21.0,610.0,1800.0,2006-09-08
72518014735,2015-03-15T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",26.0,36.0,65.0,29.82,29.47,32.0,15.6,0.0,1.9,29.0,41.0,31.0,330.0,35.0,T,0.0,0.0,330.0,29.0,608.0,1801.0,2006-09-08
72518014735,2015-03-16T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",23.0,35.0,58.0,29.92,29.62,31.0,3.4,0.0,0.5,30.0,46.0,24.0,30.0,13.0,0.00,0.0,0.0,20.0,10.0,606.0,1803.0,2006-09-08
72518014735,2015-03-17T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",22.0,37.0,57.0,29.69,29.35,32.0,13.1,0.0,2.2,28.0,46.0,28.0,310.0,47.0,0.03,0.0,0.0,300.0,37.0,604.0,1804.0,2006-09-08
72518014735,2015-03-18T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0.0,25.0,33.0,30.05,29.7,19.0,16.2,0.0,-10.2,40.0,33.0,17.0,280.0,48.0,0.00,0.0,0.0,310.0,35.0,603.0,1805.0,2006-09-08
72518014735,2015-03-19T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",1.0,26.0,34.0,30.3,29.94,20.0,10.1,0.0,-9.6,39.0,37.0,15.0,300.0,29.0,0.00,0.0,0.0,290.0,22.0,601.0,1806.0,2006-09-08
72518014735,2015-03-20T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",14.0,28.0,60.0,30.28,29.97,24.0,4.9,0.0,-8.0,37.0,34.0,21.0,180.0,23.0,0.04,0.0,0.6,190.0,17.0,559.0,1807.0,2006-09-08
72518014735,2015-03-21T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",25.0,35.0,68.0,29.95,29.65,31.0,10.8,0.0,-1.5,30.0,42.0,28.0,300.0,37.0,T,0.0,T,300.0,25.0,557.0,1808.0,2006-09-08
72518014735,2015-03-22T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",2.0,25.0,40.0,30.09,29.73,18.0,15.2,0.0,-11.9,40.0,33.0,17.0,280.0,36.0,0.00,0.0,0.0,280.0,29.0,556.0,1810.0,2006-09-08
72518014735,2015-03-23T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0.0,21.0,40.0,30.26,29.91,16.0,12.3,0.0,-16.3,44.0,28.0,14.0,290.0,31.0,0.00,0.0,0.0,290.0,23.0,554.0,1811.0,2006-09-08
72518014735,2015-03-24T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",7.0,26.0,46.0,30.37,30.03,20.0,3.0,0.0,-11.7,39.0,39.0,12.0,350.0,18.0,0.00,0.0,0.0,350.0,10.0,552.0,1812.0,2006-09-08
72518014735,2015-03-25T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",19.0,33.0,58.0,30.27,29.97,29.0,11.0,0.0,-5.2,32.0,49.0,17.0,170.0,36.0,0.03,0.0,T,170.0,26.0,550.0,1813.0,2006-09-08
72518014735,2015-03-26T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",36.0,40.0,90.0,29.84,29.55,38.0,6.5,0.0,1.4,25.0,43.0,36.0,170.0,23.0,0.78,0.0,T,170.0,20.0,549.0,1814.0,2006-09-08
72518014735,2015-03-27T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",29.0,39.0,67.0,29.78,29.44,35.0,9.0,0.0,0.0,26.0,46.0,32.0,290.0,25.0,T,0.0,0.1,300.0,18.0,547.0,1815.0,2006-09-08
72518014735,2015-03-28T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",19.0,27.0,70.0,29.96,29.6,25.0,10.9,0.0,-12.5,38.0,32.0,22.0,310.0,26.0,0.06,1.0,1.9,310.0,21.0,545.0,1817.0,2006-09-08
72518014735,2015-03-29T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",7.0,27.0,44.0,30.17,29.86,22.0,4.4,0.0,-12.9,38.0,43.0,11.0,310.0,20.0,0.00,0.0,0.0,270.0,15.0,543.0,1818.0,2006-09-08
72518014735,2015-03-30T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",24.0,39.0,59.0,29.79,29.49,33.0,12.2,0.0,-1.3,26.0,46.0,32.0,270.0,28.0,T,0.0,0.1,280.0,21.0,541.0,1819.0,2006-09-08
72518014735,2015-03-31T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",21.0,38.0,48.0,29.79,29.47,33.0,11.6,0.0,-2.8,27.0,46.0,30.0,300.0,31.0,0.00,0.0,0.0,280.0,23.0,540.0,1820.0,2006-09-08
72518014735,2015-04-01T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",7.0,36.0,33.0,30.07,29.72,27.0,8.8,0.0,-5.2,29.0,47.0,25.0,290.0,32.0,0.00,0.0,0.0,280.0,25.0,538.0,1821.0,2006-09-08
72518014735,2015-04-02T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",22.0,46.0,36.0,30.01,29.73,38.0,10.2,0.0,4.3,19.0,67.0,25.0,170.0,32.0,T,0.0,0.0,170.0,24.0,536.0,1822.0,2006-09-08
72518014735,2015-04-03T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",39.0,56.0,55.0,29.75,29.46,48.0,4.4,0.0,13.9,9.0,65.0,47.0,350.0,15.0,0.09,0.0,0.0,330.0,13.0,535.0,1823.0,2006-09-08
72518014735,2015-04-04T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",26.0,39.0,57.0,29.85,29.47,35.0,16.7,0.0,-3.6,26.0,47.0,31.0,280.0,49.0,0.28,0.0,0.0,310.0,35.0,533.0,1825.0,2006-09-08
72518014735,2015-04-05T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",19.0,34.0,52.0,30.17,29.83,30.0,9.5,0.0,-9.0,31.0,42.0,25.0,280.0,35.0,T,0.0,T,280.0,25.0,531.0,1826.0,2006-09-08
72518014735,2015-04-06T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",30.0,48.0,56.0,30.23,29.9,39.0,5.0,0.0,4.5,17.0,63.0,32.0,170.0,20.0,T,0.0,0.0,160.0,15.0,529.0,1827.0,2006-09-08
72518014735,2015-04-07T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",27.0,43.0,56.0,30.3,29.95,36.0,9.2,0.0,-0.9,22.0,48.0,38.0,20.0,23.0,0.01,0.0,0.0,10.0,16.0,528.0,1828.0,2006-09-08
72518014735,2015-04-08T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",24.0,37.0,63.0,30.36,30.04,32.0,4.5,0.0,-7.3,28.0,41.0,33.0,140.0,19.0,0.35,0.0,T,20.0,13.0,526.0,1829.0,2006-09-08
72518014735,2015-04-09T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",32.0,38.0,79.0,30.29,29.98,35.0,8.1,0.0,-6.8,27.0,42.0,34.0,170.0,28.0,0.15,0.0,0.0,170.0,18.0,524.0,1830.0,2006-09-08
72518014735,2015-04-10T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",40.0,45.0,80.0,29.83,29.54,43.0,13.7,0.0,-0.2,20.0,52.0,38.0,180.0,32.0,0.17,0.0,0.0,170.0,24.0,523.0,1831.0,2006-09-08
72518014735,2015-04-11T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",27.0,41.0,52.0,30.0,29.64,38.0,13.9,0.0,-4.7,24.0,50.0,31.0,280.0,42.0,0.00,0.0,0.0,290.0,32.0,521.0,1833.0,2006-09-08
72518014735,2015-04-12T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",29.0,49.0,48.0,30.26,29.93,41.0,4.8,0.0,2.9,16.0,68.0,29.0,280.0,23.0,0.00,0.0,0.0,300.0,14.0,519.0,1834.0,2006-09-08
72518014735,2015-04-13T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",35.0,55.0,42.0,30.16,29.85,48.0,13.3,0.0,8.5,10.0,74.0,36.0,160.0,43.0,0.00,0.0,0.0,170.0,29.0,518.0,1835.0,2006-09-08
72518014735,2015-04-14T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",31.0,57.0,42.0,30.14,29.82,45.0,11.5,0.0,10.1,8.0,66.0,48.0,270.0,29.0,T,0.0,0.0,310.0,22.0,516.0,1836.0,2006-09-08
72518014735,2015-04-15T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",21.0,52.0,30.0,30.24,29.92,40.0,7.1,0.0,4.7,13.0,67.0,36.0,350.0,29.0,0.00,0.0,0.0,320.0,23.0,514.0,1837.0,2006-09-08
72518014735,2015-04-16T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",22.0,50.0,34.0,30.34,30.02,40.0,8.9,0.0,2.2,15.0,69.0,31.0,160.0,28.0,0.00,0.0,0.0,180.0,21.0,513.0,1838.0,2006-09-08
72518014735,2015-04-17T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",46.0,57.0,74.0,29.99,29.67,51.0,9.2,0.0,8.8,8.0,66.0,47.0,310.0,28.0,0.11,0.0,0.0,270.0,20.0,511.0,1839.0,2006-09-08
72518014735,2015-04-18T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",35.0,58.0,48.0,29.96,29.65,47.0,9.3,0.0,9.4,7.0,77.0,39.0,280.0,49.0,0.00,0.0,0.0,280.0,36.0,509.0,1841.0,2006-09-08
72518014735,2015-04-19T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",30.0,51.0,45.0,30.2,29.88,42.0,7.3,0.0,2.0,14.0,62.0,39.0,170.0,26.0,0.00,0.0,0.0,160.0,20.0,508.0,1842.0,2006-09-08
72518014735,2015-04-20T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",40.0,49.0,71.0,29.84,29.58,46.0,7.4,0.0,-0.4,16.0,55.0,43.0,130.0,29.0,0.12,0.0,0.0,150.0,20.0,506.0,1843.0,2006-09-08
72518014735,2015-04-21T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",40.0,53.0,65.0,29.64,29.31,47.0,7.3,0.0,3.2,12.0,61.0,45.0,310.0,30.0,0.54,0.0,0.0,300.0,23.0,505.0,1844.0,2006-09-08
72518014735,2015-04-22T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",36.0,49.0,69.0,29.65,29.33,42.0,9.1,0.0,-1.1,16.0,60.0,37.0,190.0,39.0,0.26,0.0,0.0,310.0,26.0,503.0,1845.0,2006-09-08
