,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,target
542,42.0,58674.66,4824.555,8,5,15,4.0,62,14.0,3.29,11.0,2425.38,37.04101847126568,13.583,116.10341691461672,250.483,395.869,0
37952,16.0,93220.71,7647.392499999999,3,7,9,5.0,12,20.0,9.25,8.0,200.89,34.42626090810482,12.917,238.28726924085709,154.609,611.843,1
54040,18.0,73971.16,3093.745000000001,6,9,3605,7.0,33,19.0,19.3,11.0,3528.13,34.449060695459345,5.417,330.2859170223075,85.222,429.618,1
35511,41.0,114150.75,3093.745000000001,5,4,8,0.0,10,14.0,9.13,318.0,399.84,38.35114011109825,18.25,0.0,164.261,1052.595,1
35537,34.0,77463.99,6388.3325,7,6,15,2.0,29,15.0,2.42,4.0,451.63,36.05714732242628,16.75,80.87723028558403,135.926,749.614,1
15064,34.0,37822.18,3082.848333333333,7,8,34,9.0,29,22.0,0.57,9.0,3805.47,24.41880763458411,11.333,159.2651877340675,194.993,244.027,0
66290,45.0,36338.78,2908.231666666666,8,8,30,-100.0,41,21.0,3.01,11.0,1861.75,31.24141237281903,6.0,86.67994081293507,22.77,421.373,0
35639,38.0,7863.04,405.2533333333333,7,3,24,4.0,6,15.0,17.53,9.0,2286.31,35.885417200616324,13.5,23.60905668603669,135.926,284.027,0
56919,33.0,51660.42,4311.035,6,6,10,4.0,7,17.0,13.45,8.0,358.9,38.26793053899787,23.167,94.53644988367522,56.211,530.357,1
59522,32.0,17434.78,1214.8983333333333,8,6,32,7.0,34,23.0,21.56,846.0,2765.76,28.164746644895548,14.083,73.31214663371006,48.08,250.097,1
69190,27.0,20012.87,1830.7391666666665,7,8,17,5.0,20,12.0,2.81,11.0,3500.17,37.34366578500258,1.083,59.45838794178548,167.275,236.341,0
35414,25.0,167787.16,13952.263333333334,5,4,10,3.0,3,2.0,12.56,1.0,1357.9,32.895881780923176,16.25,26575.0,255.505,986.149,1
31008,30.0,125468.44,10445.703333333331,4,4,10,4.0,23,13.0,10.45,4.0,1136.85,29.86632244856496,19.25,338.09240873665965,227.62,718.858,1
13981,33.0,74192.07,6200.6725,4,4,18,3.0,10,19.0,15.59,5.0,1200.73,27.353035285510856,22.167,101.06621551726778,135.926,425.301,1
37204,34.0,127720.4,10739.366666666669,5,6,12,0.0,0,11.0,1.82,3.0,356.24,23.92081289688773,29.583,0.0,1024.308,329.628,1
21834,30.0,54231.16,4727.263333333333,6,3,18,4.0,11,17.0,18.89,11.0,1293.76,34.807795834819736,15.0,129.70663031889407,106.375,486.645,1
9060,18.0,9734.325,876.19375,8,10,31,4.0,61,19.0,6.21,11.0,2558.01,33.911408947707194,13.5,17.853985427965764,65.49,294.276,0
55201,38.0,15496.42,3093.745000000001,7,7,25,7.0,55,19.0,8.65,7.0,1883.54,32.0583989541877,19.667,72.70667922071088,141.268,181.963,0
48779,24.0,19070.065,1411.1720833333331,3,5,11,3.0,14,3.0,8.42,3.0,801.19,33.521375161993454,18.667,35.00184715521044,36.155,319.96,1
18967,36.0,61351.77,4997.6475,8,10,18,5.0,35,22.0,13.27,9.0,2240.52,26.00763383173676,17.417,47697.0,137.043,429.309,0
12225,41.0,39540.78,3410.065,8,7,25,7.0,47,15.0,26.32,12.0,3506.0,38.97888811135999,18.25,227.5308648819429,111.939,251.536,1
15627,36.0,21379803.0,2639.829166666667,8,5,5,1.0,16,15.0,19.51,5.0,339.45,39.43622794142296,33.167,17.43495131492973,71.245,435.303,1
6389,16.0,20414.37,1775.1975,6,10,18,4.0,25,16.0,4.66,14.0,1401.52,29.24722085982469,6.0,55.1445140821016,68.633,303.742,1
19704,39.0,60031.96,5148.663333333333,9,9,22,9.0,62,25.0,28.85,6.0,3395.4,27.246057726304745,9.083,262.1680739546084,209.649,293.05,1
22825,31.0,17166.71,1181.559166666667,7,10,32,9.0,50,15.0,-2.18,9.0,4525.27,27.011499119321734,4.667,105.65166033084056,94.743,207.761,0
35412,24.0,167787.16,3093.745000000001,5,4,10,3.0,2,2.0,8.56,1.0,1357.9,28.67314617221338,16.083,413.5720377590062,472.534,759.12,1
57028,41.0,20028.04,1728.003333333333,4,5,8,2.0,23,14.0,8.85,7.0,528.22,22.267724689644083,12.083,26.61314372756981,135.926,314.509,1
5703,22.0,136680.12,10272.758594759498,0,5,3,1.0,3,1.0,4.06,0.0,1269.93,43.03796645100125,18.5,1260.2468384258884,241.277,1037.729,2
59459,55.0,88363.86,7123.655,3,3,11,2.0,9,2.0,7.88,3.0,1405.42,39.83845917419186,28.917,127.4805283479446,83.379,741.506,2
47377,27.0,22846.31,2166.859166666667,7,3,5,3.0,29,8.0,19.12,2.0,1374.76,36.07024837548612,21.0,44.81412898379753,34.594,387.278,1
68500,16.0,75476.72,6492.7266666666665,10,10,30,-100.0,19,24.0,14.41,8.0,1401.04,29.165258039271787,18.0,301.55767926496065,284.525,353.19,0
48351,19.0,41188.92,3515.41,2,6,3,4.0,8,3.0,3.33,3.0,521.11,24.504967255357965,20.333,133.14757389070834,87.223,381.17,2
11658,36.0,94934.94,8039.245,2,5,3,4.0,11,14.0,12.83,6.0,975.21,39.68781770184718,18.25,289.8410539850042,158.208,605.875,1
52314,44.0,50643.18,4465.265,9,7,34,8.0,45,20.0,7.81,12.0,1513.28,30.234260435623728,18.25,217.43057422533448,135.926,170.647,0
31235,24.0,41294.92,3215.2433333333333,7,8,23,7.0,51,14.0,15.02,11.0,1614.96,35.72847428794307,13.417,154.74382866441402,44.703,372.077,0
67701,48.0,38650.73,2983.894166666667,1,1,11,0.0,12,7.0,3.91,3.0,1189.97,39.53558624475664,16.75,0.0,126.384,422.005,1
47031,46.0,63306.54,5260.545,4,5,19,3.0,11,9.0,1.09,7.0,1203.19,38.89702648821528,28.333,85.61112477309555,173.085,517.358,1
21877,25.0,12427.74,767.645,6,6,11,4.0,20,12.0,6.61,1.0,223.93,27.54467680472497,27.25,33.808269077321896,46.75,286.207,0
64671,14.0,19556.16,1865.68,7,7,33,5.0,34,15.0,21.55,9.0,2850.96,28.80487394502464,5.25,65.79736994465519,193.037,207.733,0
23089,43.0,8126.595,872.2162500000002,8,6,25,7.0,12,9.0,4.27,8.0,1717.09,26.726523587213364,10.667,46.26719559885268,65.779,265.176,0
62885,25.0,58609.64,4763.136666666666,1,2,3,3.0,12,1.0,2.02,3.0,760.97,40.4200545411928,30.75,140.97657533860215,146.905,438.432,1
2768,40.0,42241.19,3231.099166666667,0,5,11,0.0,5,13.0,3.24,4.0,190.04,36.155986275131845,25.25,0.0,129.086,444.024,2
33073,32.0,178328.88,14771.74,4,3,7,0.0,5,9.0,7.55,4.0,708.22,34.810509155794804,16.167,0.0,554.88,1172.294,2
27156,30.0,28993.75,2459.145833333333,2,4,12,1.0,12,0.0,6.74,0.0,822.72,37.69132506483637,20.083,18.34558543973027,54.852,412.717,2
57218,43.0,39859.72,3102.643333333333,4,3,1,1.0,7,7.0,-0.84,3.0,1281.92,39.12024348513922,32.833,21.15615013569883,48.057,491.051,2
46323,22.0,173668.84,3093.745000000001,3,6,2,3.0,15,0.0,0.88,0.0,710.17,25.894955608305068,22.833,310.1594182576672,583.43,785.751,1
66551,36.0,10186.26,985.855,4,3,8,3.0,7,10.0,10.16,5.0,587.16,25.33606404303563,18.25,18.78837738653499,83.296,286.501,2
21203,37.0,61449.66,5333.805,7,8,25,-100.0,46,22.0,7.25,12.0,1315.4,23.597755774039346,11.667,159.54641419956758,635.736,28.098,0
48406,23.0,7664.42,382.7016666666667,6,6,32,6.0,18,21.0,21.14,12.0,4332.94,28.003541776803093,10.667,22.15628270071634,19.848,286.265,1
52505,49.0,72790.92,6087.91,3,5,5,4.0,9,10.0,0.89,0.0,702.65,27.55776269201486,32.5,157.30415645303768,250.92,450.567,1
11480,24.0,7304.055,3093.745000000001,10,9,33,3.0,28,19.0,17.81,6.0,1991.85,24.60678227251304,18.25,10.7377418742606,56.512,268.617,0
58846,36.0,38821.54,3187.1283333333336,9,9,18,9.0,43,20.0,-0.26,9.0,1541.26,31.47540507759157,14.333,250.7364122369981,188.949,169.028,1
20525,29.0,20194.19,1774.8491666666666,5,7,19,0.0,6,14.0,7.85,7.0,189.79,25.95824028986864,29.583,0.0,125.709,321.776,1
9677,35.0,70978.44,5993.87,6,4,21,5.0,29,17.0,19.58,8.0,1587.98,36.39878651634719,14.333,262.8315664258443,553.597,62.958,0
55827,20.0,16365.59,1089.799166666667,7,7,12,4.0,13,22.0,9.47,6.0,875.32,34.35716519907282,18.333,31.374255987550267,10000.0,293.932,1
69851,21.0,15051.065,3093.745000000001,5,7,20,2.0,25,14.0,18.85,9.0,1455.55,35.885800418064214,31.0,24.26990424741696,78.711,292.645,1
34441,34.0,38027.68,3093.745000000001,5,6,10,4.0,13,8.0,15.04,4.0,286.94,35.1587416091747,26.0,99.32828048079573,206.812,285.357,1
41586,21.0,8213.68,926.4733333333336,5,4,14,6.0,27,10.0,16.84,7.0,2685.31,35.20443588076993,14.417,33.642367411365264,40.064,298.941,1
11490,31.0,36779.34,2847.945,6,5,20,3.0,21,16.0,16.35,8.0,1215.19,28.768765682945894,9.917,47.474774130772886,200.813,306.506,1
55951,18.0,7471.91,597.6591666666667,8,8,18,6.0,29,17.0,18.95,8.0,1814.13,33.326484723486054,19.333,18.694162128399395,10000.0,283.893,0
5522,25.0,142152.48,11894.04,6,7,19,0.0,13,13.0,11.91,1.0,185.7,44.306935250371644,15.833,0.0,213.224,1216.18,1
7088,14.0,9387.13,3093.745000000001,7,7,13,6.0,25,5.0,18.12,6.0,1604.6,40.48252044014792,12.083,41.932233965046784,135.926,279.535,1
15991,35.0,17164.73,1545.394166666667,3,6,18,3.0,9,8.0,14.35,8.0,172.13,31.38579128041137,9.5,35.18435848320144,96.244,283.111,1
2663,21.0,22500.52,3093.745000000001,5,3,19,5.0,14,14.0,16.61,8.0,864.7,33.08629049151944,12.833,65.0210261192878,99.768,292.215,2
69963,19.0,76887.92,6445.326666666668,8,7,25,2.0,24,19.0,3.64,8.0,2485.99,25.34187577856089,9.083,78.62692676686831,48.629,757.277,0
16287,53.0,31223.33,3093.745000000001,8,3,9,4.0,29,13.0,7.89,3.0,906.8,39.36931019302928,31.333,362.2146194687565,146.43,286.534,1
34019,53.0,108057.12,8786.76,1,4,9,4.0,6,8.0,0.92,7.0,173.56,39.06066927811782,20.167,322.80470631489,339.172,466.699,2
48459,37.0,10112.045,521.3610652530066,4,5,6,1.0,30,10.0,6.74,2.0,49.62,34.096038733574176,29.0,56.143096551465966,55.688,274.546,1
44410,35.0,29327.1,2457.925,6,6,18,5.0,10,18.0,11.18,9.0,1448.17,29.002148951893503,18.5,74.1151196215954,166.165,265.513,0
29176,14.0,37720.58,3212.3816666666667,6,9,24,5.0,26,17.0,1.14,11.0,1573.68,27.155739473608573,10.333,128.94140886702775,350.993,131.304,0
17952,26.0,36783.38,3151.2816666666663,10,5,17,7.0,18,14.0,28.35,7.0,4555.72,30.235912602438727,1.417,148.35811776936703,81.52,325.25,0
55396,17.0,8886.055,3093.745000000001,8,3,6,6.0,13,8.0,12.43,8.0,1190.59,25.51394034517516,19.167,34.78888164233539,22.53,247.132,2
39916,54.0,141219.08,11761.256666666664,5,7,11,0.0,13,10.0,7.15,2.0,1126.33,33.366980496809894,19.583,0.0,294.569,1131.556,1
52207,31.0,14532812.0,914.15,6,10,28,6.0,18,19.0,27.01,14.0,4128.98,29.370854851559912,6.917,24.906263362349712,80.864,255.645,1
55090,38.0,27947.42,2488.9516666666664,7,5,15,2.0,30,20.0,11.04,4.0,1472.05,38.96212601919962,32.25,62410.0,313.977,193.583,1
28171,20.0,121471.44,9960.62,4,3,3,2.0,16,4.0,1.37,1.0,736.68,35.95499216881849,26.333,161.16319867530373,717.048,397.85,0
64392,22.0,24859.96,2045.6633333333327,4,7,12,3.0,10,13.0,9.4,2.0,407.48,32.44779663109689,27.667,59.01474298878972,130.027,305.524,1
37923,47.0,32123.85,3093.745000000001,1,3,9,1.0,8,14.0,4.84,3.0,106.9,31.941445824030968,29.417,15.007509256043305,189.225,350.967,0
28125,53.0,37921.22,2987.101666666667,0,7,4,3.0,6,3.0,6.92,1.0,1077.93,27.89906100017132,30.75,56.658478577669975,57.224,444.828,1
69816,43.0,10077.135,626.76125,7,7,27,3.0,36,19.0,13.61,6.0,2642.8,22.39042839242095,9.167,17.585409223354688,83.789,251.302,0
56784,29.0,7056.405,486.03375,4,3,30,4.0,22,15.0,14.06,11.0,2570.42,25.125960389894573,15.917,16.372292852957088,28.243,293.988,1
351,22.0,148699.32,12432.61,3,4,5,3.0,16,8.0,9.2,1.0,949.38,40.605388381855605,31.167,364.9151774048712,328.908,799.438,2
56485,27.0,19956.75,3093.745000000001,6,5,1,-100.0,17,16.0,3.36,6.0,1271.85,33.96457809252269,23.667,28.520109545538048,201.809,218.377,2
4920,43.0,30257.02,2605.418333333333,10,6,33,5.0,51,22.0,14.83,9.0,2437.84,26.12995679049726,18.083,78.0890053077879,231.618,240.835,0
28639,48.0,109652.7,9317.725,2,4,328,2.0,13,6.0,-1.21,1.0,1056.45,30.02375504687304,32.833,97.6275312006698,167.398,906.747,1
47054,36.0,17553.22,1343.7683333333334,9,5,22,2.0,22,16.0,9.45,6.0,2228.97,24.41152626584345,18.25,21.07132939836552,66.323,306.983,0
61279,45.0,9133.965,494.1637500000001,6,10,21,6.0,12,9.0,8.13,9.0,2552.06,36.256984406694095,12.75,41.7397629034578,16.807,260.869,1
3856,39.0,19910.51,3093.745000000001,9,10,15,5.0,57,26.0,27.19,12.0,3957.01,23.330992481438464,5.583,57.67071368461316,103.261,291.29,0
21402,38.0,17129.91,1335.4925,5,1,5,-100.0,11,7.0,9.36,2.0,1307.4,35.29360376843741,26.417,30.152860780254144,17.71,325.686,1
4000,32.0,44390.76,3586.23,4,6,12,6.0,21,13.0,11.01,6.0,24.73,33.83213360062469,17.167,14283.0,268.368,226.531,1
54224,34.0,155148.36,12909.03,5,5,10,2.0,12,6.0,8.13,2.0,1122.62,35.10888078719554,32.75,129.95910901814642,357.915,1083.029,2
53627,19.0,139144.84,3093.745000000001,2,4,11,3.0,9,3.0,1.76,1827.0,715.98,38.04533646384859,25.083,36408.0,190.618,883.498,2
12691,34.0,15185.65,1329.4708333333333,8,9,27,3.0,43,15.0,17.75,12.0,2265.53,24.64134251714359,18.25,22.73084035420283,66.37,323.846,0
13904,35.0,107289.36,9031.78,6,4,7,3.0,9,9.0,7.77,0.0,815.62,33.62394541979557,22.75,207.77772889476967,483.524,481.876,1
68560,20.0,77108.98,6528.748333333332,5,2,8,3.0,6,9.0,9.6,1.0,482.99,36.39674042981812,17.333,102.35677307207472,290.207,540.311,2
37214,40.0,18116.1,1552.675,3,9,34,7.0,15,9.0,9.4,13.0,1745.84,36.851775837057936,11.25,62.401016117626114,182.846,200.02,0
64183,20.0,25773.73,2359.810833333333,5,6,8,0.0,8,14.0,9.01,5.0,30.79,32.1464043347692,16.417,0.0,207.811,308.17,0
58034,42.0,36439.06,3248.588333333333,5,6,5,-100.0,12,9.0,2.12,2.0,5.57,36.31564605677493,21.083,59.99582246036087,23.038,481.825,1
35912,27.0,14785.12,1365.0933333333337,6,9,17,5.0,61,20.0,22.41,12.0,4780.8,31.83346403417945,1.333,43.96605324641933,88.183,294.36,0
43953,35.0,16253.0,1620.416666666667,8,7,24,9.0,35,16.0,0.54,6.0,1467.62,36.23180938374801,15.75,75.13662168225113,55.29,311.615,1
41258,22.0,83990.68,6776.223333333332,7,5,18,5.0,52,19.0,-1.11,9.0,4857.4,29.98558655211821,11.5,336.58296111681085,278.395,312.644,0
18658,14.0,18885.93,1591.8275,9,7,22,2.0,22,18.0,7.55,8.0,1383.42,40.751282370275824,9.583,29.604560590172376,137.232,282.346,0
30068,23.0,67059.18,5398.264999999999,8,6,18,-100.0,19,17.0,11.57,8.0,255.76,37.458924210420186,6.0,167.12399949917537,595.22,67.483,1
66335,42.0,79824.64,6705.053333333332,9,7,26,8.0,58,16.0,17.14,14.0,3633.04,39.189318471603336,4.167,351.5689087849992,130.083,428.853,1
46102,37.0,86771.08,3093.745000000001,8,3,18,5.0,29,20.0,19.24,8.0,85.79,26.9800567879792,13.417,218.81931419303203,123.576,625.097,1
16433,35.0,24376.2,2278.350000000001,4,7,10,1.0,16,16.0,8.3,1.0,1109.03,34.2163189250868,21.5,10.835928874709449,77.712,429.287,1
5865,36.0,22250.525,1945.2104166666668,4,4,7,0.0,20,6.0,9.1,2.0,1443.78,24.192365734466662,30.0,80228.0,71.174,373.348,0
63128,53.0,127708.48,10389.373333333331,7,3,13,3.0,11,20.0,9.4,1.0,1123.12,31.99600022150061,31.917,207.27410955151103,135.926,795.818,1
37559,25.0,104177.61,8671.4675,3,6,1,2.0,6,1.0,4.22,3.0,581.83,42.43558842365725,25.0,141.6961457709901,112.059,863.391,0
54796,23.0,66519.63,3093.745000000001,5,3,8,2.0,22,14.0,1.12,2.0,64.27,37.712114738621466,17.667,99.19363073791912,218.773,507.964,1
38168,27.0,21498.365,3093.745000000001,3,3,8,-100.0,27,4.0,9.46,1.0,488.89,30.52220800759623,18.25,49.800524026694205,97.743,295.309,0
62890,30.0,18265510.0,2052.173333333333,3,3,16,0.0,9,10.0,22.85,0.0,573.89,39.61588052431837,25.917,0.0,36.614,408.603,1
42776,22.0,151515.68,12885.306666666664,1,6,11,3.0,14,8.0,9.4,4.0,1078.49,23.081457771193147,17.833,362.4249714200088,1204.119,1.987,1
33067,28.0,60177.04,5093.753333333333,7,6,11,3.0,10,19.0,17.55,2.0,765.97,33.97109859031321,20.833,142.75070762898002,135.926,481.286,1
13095,54.0,10563.445,751.2870833333333,7,5,12,1.0,17,17.0,4.2,1804.0,984.62,35.239306956024826,17.25,5.968634608828611,61.347,297.813,1
30350,36.0,42847.79,3782.649166666666,4,7,2,2.0,1,9.0,9.81,9.0,181.47,34.60824481246574,21.083,52.27619536504776,416.317,199.671,2
52337,15.0,7829.225,560.4354166666667,9,6,34,9.0,38,15.0,16.22,7.0,4579.09,23.43919852664732,0.25,37.73561457023335,135.926,252.647,1
12442,41.0,72617.55,5996.462499999999,3,4,5,2.0,22,17.0,3.02,2.0,1475.91,31.90508062313672,27.833,89.40561295123986,48.932,701.309,0
39167,32.0,49768.71,4045.3925,7,5,18,6.0,22,10.0,9.4,11.0,1428.04,28.008781871261363,14.5,225.6934908669469,50.037,368.809,0
49978,38.0,15108.07,1098.0058333333334,6,10,31,5.0,29,15.0,26.34,12.0,3650.33,24.487351112940413,5.917,51.17896890976082,135.926,302.397,1
66184,18.0,57921.74,4772.8116666666665,4,3,11,3.0,4,8.0,0.99,3.0,978.88,35.93014757927804,28.167,94.3673126042464,327.218,325.696,2
34335,38.0,28585.38,3093.745000000001,9,7,19,2.0,56,19.0,9.62,9.0,2423.96,25.11688063195005,17.333,43.833294231299725,133.09,346.688,0
19568,19.0,99194.19,8530.1825,3,6,7,2.0,27,11.0,18.75,6.0,573.52,42.67603746405752,8.833,109.21070846951112,301.238,702.57,1
25308,31.0,48597.42,3866.785,9,8,30,3.0,21,20.0,2.61,11.0,1868.46,23.346871061107827,9.917,113.64995046219836,135.926,202.556,1
28043,22.0,15812.43,1142.7025,10,8,16,5.0,22,20.0,25.17,2366.0,3297.76,37.50443896894257,10.5,42.50567948677273,111.775,249.989,1
46041,53.0,134790.56,11053.546666666669,4,5,14,1.0,30,12.0,2.93,2.0,349.04,35.630192052729384,30.417,111.91332569362656,319.494,923.948,1
29687,49.0,16221.07,1510.7558333333334,0,3,3,2.0,9,6.0,5.39,2.0,197.05,35.73684156366425,16.5,19.251995593865928,25.273,356.551,1
23224,19.0,28608.65,2490.054166666667,4,7,12,1.0,2,8.0,11.68,4.0,143.04,32.63789974504594,17.083,23.008446135215287,102.57,413.427,2
69596,37.0,74169.76,6174.813333333333,9,7,27,2.0,36,24.0,7.79,15.0,2529.47,34.79602854069737,14.917,87.82539137238996,44.388,725.268,0
67803,25.0,141477.56,12012.796666666669,2,1,3,1.0,14,12.0,-5.61,2.0,202.48,45.364679063937466,15.333,66.25911890491606,250.077,1124.944,1
10087,35.0,66749.64,5379.47,6,4,9,3.0,25,12.0,10.88,10.0,303.85,33.13231736652826,12.0,89.78489450906727,598.04,140.122,1
30073,36.0,128141.19,10812.4325,4,4,3,2.0,8,12.0,11.42,0.0,198.77,35.05601258005516,29.0,121.57770722003649,10000.0,890.289,1
64023,25.0,116098.12,9402.843333333332,6,4,8,3.0,5,8.0,19.69,6.0,317.72,27.09478268130557,18.25,150.77397117513834,646.225,413.286,1
44449,41.0,33606.82,3025.568333333333,7,5,19,0.0,25,11.0,4.36,2.0,1295.38,30.687509395139564,23.917,0.0,185.142,377.415,1
51723,25.0,54539.52,4540.96,8,5,30,5.0,20,24.0,5.99,11.0,4779.68,37.57726478473048,18.25,189.91950188805697,135.926,432.511,0
25070,31.0,39340.72,3534.393333333333,4,2,9,0.0,0,1.0,5.98,3.0,1482.22,37.576160744059855,18.25,0.0,53.017,540.422,2
6051,36.0,40514.84,3511.236666666666,2,5,3,3.0,5,7.0,2.64,5.0,151.33,21.65232371374439,17.917,55.84685586012858,355.967,229.31,2
2617,32.0,108223.62,8775.635,5,6,7,2.0,9,12.0,11.53,3.0,977.19,35.381101089242584,26.833,127.92921351189594,227.826,761.809,1
47858,53.0,74366.94,6380.245,0,7,2,3.0,9,10.0,9.61,3.0,265.44,36.20882459184191,31.083,126.64223547069057,389.604,411.778,2
50237,20.0,83204.52,6831.71,8,10,29,5.0,55,17.0,27.98,12.0,3388.37,35.20002646925856,12.833,276.87481319761883,50.965,595.332,1
14010,28.0,95295.57,7943.2975,6,6,3,0.0,11,20.0,11.14,6.0,406.93,28.424934131660784,24.417,0.0,291.197,753.132,0
69642,27.0,28027.52,2046.6266666666663,6,6,19,5.0,32,17.0,9.18,9.0,1438.18,36.08214444831204,14.333,58.88247459842248,128.732,307.048,0
9443,37.0,88481.16,7082.43,3,4,18,0.0,19,10.0,13.29,4.0,1343.5,40.926048002160506,26.833,0.0,248.055,740.188,1
64251,35.0,19047.36,1769.28,8,5,23,6.0,24,23.0,20.81,10.0,2815.41,32.93893478584415,11.667,68.6868574553881,111.278,256.963,0
7876,34.0,20516.18,3093.745000000001,5,7,17,4.0,8,17.0,8.76,1.0,232.52,25.2847870412389,18.417,56.37071107419772,87.95,322.347,1
12329,50.0,21755.79,1731.9825,8,4,20,2.0,5,14.0,16.3,3.0,604.9,31.472807858650604,30.25,31.155358174966764,131.975,280.067,1
64879,50.0,39491.26,3129.938333333333,7,5,9,0.0,9,13.0,1.1,3.0,730.89,28.557441569917344,18.75,0.0,67.009,485.985,1
36437,28.0,31959.4,2532.665670555116,8,10,28,9.0,38,20.0,22.29,9.0,2753.45,28.22421285040137,6.167,140.93671551254178,88.776,247.134,0
66449,49.0,15217.59,3093.745000000001,5,6,17,0.0,15,14.0,9.48,3.0,296.54,34.512234238882634,24.75,0.0,52.773,307.14,1
11822,32.0,60348.92,5245.076666666667,6,6,13,2.0,8,19.0,7.53,1.0,1134.8,32.78565916800097,15.917,84.7803839535242,497.946,231.782,1
9481,23.0,102412.35,3093.745000000001,5,6,4012,0.0,25,17.0,11.13,1.0,719.06,32.87809003286906,18.5,0.0,207.421,861.615,1
58953,38.0,57818.72,4864.2266666666665,7,7,21,2.0,52,17.0,4.09,12.0,2348.77,31.85353259893643,18.25,73.70957047589215,115.487,537.226,0
54078,54.0,21834.105,2071.50875,4,5,11,1.0,8,9.0,10.4,5.0,1215.84,31.876096934515964,24.833,16.922557269222168,119.095,361.133,1
3706,24.0,53908.41,4456.3675,9,5,17,5.0,34,21.0,25.07,8.0,3078.82,32.304012187555195,13.75,219.838310179153,483.286,32.512,0
69434,26.0,92652.09,7635.0075,7,7,2300,1.0,18,14.0,5.17,4.0,156.76,27.87603318998936,18.833,41.36481718234322,301.091,701.045,1
61786,31.0,9667.645,3093.745000000001,6,5,26,9.0,28,21.0,17.37,11.0,2704.28,29.1909384896568,13.0,68.56040389657137,44.104,272.399,1
15623,30.0,20456.35,1581.1940073090664,7,10,15,9.0,28,18.0,8.58,9.0,4424.37,32.20838709242714,8.167,85.67526558810448,29.735,240.361,1
60513,18.0,37353.58,2926.7983333333336,6,9,34,8.0,15,16.0,18.51,11.0,3459.09,35.222565355940496,3.417,172.34493905891773,133.13,257.205,1
